shadjamam|షడ్జమం 
krauncam|క్రాన్కామ్
durga|దుర్గా
putamayuram|పూతమయపురం
sarasvatiranjani|సరస్వతీరంజని
garudavarali|గరుద్వరాలి
margadeshika|మార్గెషిక
shivamanju|శివంజయు
rauti|రౌతి
tanaranjani|తనారంజని
mandemari|మండెరి
udasanan|ఉదసనన్
shrimani|శ్రీమణి
vanali|వనమాలి
jaganmohini|జగన్మోహిని
manolayam|మనోలయం
koshika|కోషిక
gitalambana|గీతలమ్బన
kannayaki|కన్నయకి
shuddhasimantini|శుధ్ధసీమంతినీ
vasantamukhari|వసంతముఖి
bhusakalyani|భూసాకల్యాణి
teriyal|టెరియాల్
omkaraghosini|ఓంకారగోహోసిని
mohanakuranji|మోహనమురళీ
vamasukirini|వాశుకర్దిని
vidamba|విధాంబ
vijayashrikanthi|విజయష్ట్రకంతి
shivakkazhal|శివకఖహల్
biyandigandharam|బయ్యాదిగాంధారం
amrtapancamam|అమృతాన్కామము
junavali|జునావళి
jayashuddhamaalavi|జయముద్ధర్మలవి
jilap|జిలప్
melagam|మేలగం
kancani|కాంచీ
kedaranata|కేతనాత
shreyodharini|శ్రయోధాయిని
somadipakam|సోదిపాకం
ranamanjari|రణమంజరి
sunandanapriya|సునందనప్రియా!
shyamala|శ్యామల
rsabha|రసభ
dhusravarni|ధుస్రవర్ణి
kusumaranjani|కుసుమారంజని
manmagan|మన్మగన్
sarika|సారిక
shrishivageyuram|శ్రీశివనాగేయపురం
jaudagandhari|జౌదగ్ంధరి
keeranaavali|కీర్తనావళి
latamanjari|లలాటమంజరి
nalakuparan|నలకుపరన్
hindolamohana|హిండొలోమోహనా
kanakabhusavali|కనకభాసవలి
javonnati|జావన్నాటి
shreyodayini|శ్రేయయోదయిని
samakannada|చకనాడ
bhogadhvaji|భోగాపువ్వాజి
vikhavati|విఖవతి
virasankashini|విరసంకాశిని
karaka|కరక
nakulam|నకులం
ramkali|రాకలి
yakshapriya|యక్ష్మప్రియ
shyama|శ్యామ
bhanupratapa|భానుప్రతాప్
bhinnapancama|భినపఞన
gomati|గోమతి
tattangi|తటాంగి
tittibhadhvani|తిత్తిభవధ్వని
svarnambari|స్వర్ణంబరి
maitrabhavini|మైరభవిణి
shankaralalit|శంకరాలయం
shardularava|శార్దులారవ
shularekha|షులరేఖ
sindhumaruva|సింధుమమరూప
sutakarapriya|సూతకర్ప్రియ
bhogibhairavi|భోగిభైరవి
ratnagarbha|రత్నగర్భ
dhanukari|ధనుకరి
shuddhauttari|శుధ్ధుతారి
shritakrani|శ్రీతకరాణి
ksepini|కెసెమిని
nilaveni|అక్కడ నీలవేణి
candracudapriya|చంద్రుడప్రియ
taru|తరు
lavangi|లవంగి
bharmamani|భర్మామణి
shrinavamanicandrika|తగ్గివమంత్రచంద్రిక
avalokita|అవలోకిత
meghavali|మేఘవాలీ
sauravahini|సౌరవాహిని
bharana|భారాణా
natamallaru|నాటమల్లేరు
shikhari|శిఖరి
anandavalli|ఆనందవల్లి
ambikaara|అంబకాకర
kamalasini|కమలాసిని
simhavarali|సింహవరాళి
tiruccendan|తిరుచన్దాన్
kamaranjani|కామరంజని
khadyotyakanti|ఖద్యోతకంతి
nirmalagaula|నిర్మలకవుల
sambhramalila|సంభ్రమలలీల
nunalai|నుమలై
shukamandara|శుభకర
shivapriya|శివప్రియ
ellaiyili|ఎల్లాయిలి
amrtavahini|అమృతావాహిని
tulavupriya|తులావుప్రియ
asti|అస్తి
vakulabharanam|వకుళాభరణం
dhaumya|ధౌమ్యుడు
shambhudyuti|శంభుద్యుతి
padmamukhi|పద్మమముఖి
harikedaragaula|హరికేతీరగతుల
nalinahamsi|నళినహమ్సి
jhankaradhvani|ఝంకారధ్వని
kanakakusumavali|కనకుసుమావళి
rudragandhari|రుద్రగాంధారి
kusumaakaram|కుసుమాకరమ్
vagvaditya|వాగ్వదిత్య
kediyan|కేడయాన్
ranjanakaustubham|రణజనౌస్తుభం
arurnayaki|ఆరూర్నాయకి
nagashishurita|నాగశిరిష్ట
attiya|తదియ
yautakam|యఔటకం
sakalakalavardhini|సకలకలావర్ధినీ
balanandini|బాలానందిని
damboli|దంబోలి
nadatali|నాతలి
alankaram|ాలంకారము
raktimati|రతిమతి
nila|న్నెల
alivardhana|అలివర్ధన
kaiveni|కైవేణి
shantamurti|శాంతమూర్తి
balikavasanta|పలికావసంత
datimanji|దతిమంజి
suryamani|సూరయని
kulakkottan|కులకొట్టన్
mandakini|మందాకినీ
anandabhairavi|ఆనందభైరవి
hinkari|హింకారి
brahmalila|బ్రహ్మలీల
arimani|ారిమణి
gangasuta|గంగసూత
porugu|పోరుమడుగు
ramaniyam|రమణీయం
cakanta|చకుంట
shokavarali|షోకావరాలి
purnamalika|పురనామలిక
bhinnakaishiki|భినకనైషికి
gaurisimanti|గౌరీసిమంతి
kanavahini|కనవధిని
tiruhayagriva|తిరుహయగ్రీవ
amborukattal|ఆంబోరుకట్టాల్
shuddhanilambari|శుధనిలంబిక
nishan|నిషాన్
kaikavan|కైకవన్
yoganandi|యోగానంది
kokanata|కోకనట
shrianavila|శ్రీననావల
shriaduvahana|శ్రీనాధువాహన
mecanilambari|mecanilambari
kimpurata|కిపూర్త
antaravahini|అంతర్వాహిని
shivagangai|శివగంగ
natabharanam|నటభరణం
nisadam|నిదం
dinakarakanti|దినకరకంటి
maruvadeshika|మరువదేషిక
ratnajvalita|రత్నాజ్వలితా
nalinashanti|నళినశ్ంతి
manmatalata|మమతలత
veeravasantam|వీరవాసాంతమ్
binkavati|బికావతి
bilimbi|బిలింబి
tirakkam|తిరక్కమ్
ekamban|ఏకాంబరం
kuntalavarali|కుంటాలవరాళి
hamsanatani|హసనాత్ని
shyamalapini|శ్యామాలాసిని
vacaspati|వాచస్పతి
vadivelan|వడివేలన్
dashumbu|దశుంబు
caamaram|చమరం
shuddhaputtari|శుధ్ధపుట్టిరి
vahini|వాహినీ
arattan|అటన్
simhonnata|సింహోనట
madhulika|మధూలిక
jeevantikaa|జీవంటికా
manaherali|మన్హరహాలి
supradipam|సుప్రభాతం
anamaya|అనమయ
caturangini|చతురంగిని
dhirakuntali|ధీరాకుండాలీ
hatakambari|హటంబరి
manavati|మానవతి
skandamanorama|స్కందామనోరమ
tripuraiaparna|త్రిపురైపర్ణ
karatakatarangini|కర్ణాటకారంగిని
tagattaridaram|త్యాగతారిధరం
vasimanjari|వాణీమంజరి
gangaipriyan|గంగైప్రియన్
surabhipriya|సురభిప్రియ
canan|క్యానన్
puranan|పురాన్
gaurivasanta|గౌరీవాసంత
pancitam|పంచితాం
kumudacandrika|కుముదచంద్రిక
viparsu|విపర్యసు
meghatarangini|మేఘతరంగిణి
kiranivali|కిరణివలి
jatadhari|జాతధరి
maghaluzhan|మగ్హలజున్
navanitam|నవనీతం
balibalam|బలిబాలం
maruvanarayani|మరువననారాయణి
sajjananandi|సజ్జనానంది
cakravaka|చకరవక
sharutti|షారుతట్టి
samabarbari|సమబంబరి
campakamalika|కంపకామాలిక
bhutanathan|భూతానాథన్
cittadyuti|చిత్తతయుక్తి
ruciramani|రుచిరమణి
huseni|హుసేని
purnanisadam|పురననిదం
campakavidari|కంపక్కవిరి
natabhairavi|నటభైరవి రాగము
risabhangi|రిసంగాి
navaneetam|నవనీతం
guruparan|గురుపరాన్
nadarupini|నామరూపణి
jyotismati|జ్యోతిష్మతి
ragavinodini|రాఘవవినోదిని
nasamanjari|నామాంజరి
karunakaran|కరుణాకరన్
shuddhaborjari|శుధ్ధాబోర్జరి
kosala|కోసల
kusumangi|కుసుమంగి
paramesthi|పరమేష్ఠి
indirai|ఇండిరాయ్
navaratnavilasam|నవరత్నవలాసం
svairini|స్వైరిని
yogagandhari|యోగగాంధరి
soma|సోమ
abradesi|అబ్రదేశీ
shadakanapriya|షడకటనప్రియ
begada|బేగంపేటలో
patalambari|పాటలంబరి
haradharini|హరనాధిని
kannadabhomani|కన్నడబహోమణి
varnakarina|వరనక్కిన
peruran|పెరురాన్
dhivakriya|ధివక్త్రీయ
shuddharasali|శుధశాలి
cintaramani|సినీతారామణి
vilaakkoli|విలాకోకోళి
jagasu|జాసు
bhuvanaranjani|భువనారంజని
amrapancamam|అమరావంకామ్
kannadasalavi|కన్నడశలవి
jalakrida|జలకిరిడ
bhadrashri|భద్రాశ్రీ
tuttavi|తుత్తావి
ambalika|అంబాలికా
ramani|రమణి
dvaitaparipurani|ద్వైత్పరిపురాణి
sindhu|సింధు
uvakai|ువ్వకాయ్
jayanilaveni|జయనిలవేణి
rangamanohari|రంగనమనోహరి
